Date,Price,High,Low,Close**,Volume,Market Cap
3-9-2015,229.32,229.6,226.67,227.18,"17,482,000","3,340,989,952"
4-9-2015,227.21,230.9,227.05,230.3,"20,962,400","3,311,079,936"
5-9-2015,230.2,236.14,229.44,235.02,"20,671,400","3,355,470,080"
6-9-2015,234.87,242.91,234.68,239.84,"25,473,700","3,424,420,096"
7-9-2015,239.93,242.11,238.72,239.85,"21,192,200","3,499,120,128"
8-9-2015,239.85,245.78,239.68,243.61,"26,879,200","3,498,749,952"
9-9-2015,243.41,244.42,237.82,238.17,"23,635,700","3,551,640,064"
10-9-2015,238.34,241.29,235.79,238.48,"21,215,500","3,478,409,984"
11-9-2015,238.33,241.17,238.33,240.11,"19,224,700","3,479,310,080"
12-9-2015,239.85,240.12,234.75,235.23,"17,962,600","3,502,520,064"
13-9-2015,235.24,235.93,229.33,230.51,"18,478,800","3,435,990,016"
14-9-2015,230.61,232.44,227.96,230.64,"20,997,800","3,369,189,888"
15-9-2015,230.49,259.18,229.82,230.3,"19,177,800","3,368,359,936"
16-9-2015,230.25,231.21,227.4,229.09,"20,144,200","3,365,740,032"
17-9-2015,229.08,230.29,228.93,229.81,"18,935,400","3,349,390,080"
18-9-2015,233.52,234.35,232.18,232.98,"20,242,200","3,415,439,872"
19-9-2015,232.86,233.21,231.09,231.49,"12,712,600","3,406,390,016"
20-9-2015,231.4,232.37,230.91,231.21,"14,444,700","3,385,769,984"
21-9-2015,231.22,231.22,226.52,227.09,"19,678,800","3,383,840,000"
22-9-2015,226.97,232.39,225.12,230.62,"25,009,300","3,322,419,968"
23-9-2015,230.94,231.84,229.59,230.28,"17,254,100","3,381,390,080"
24-9-2015,230.36,235.65,230.29,234.53,"25,097,800","3,373,850,112"
25-9-2015,234.36,237.43,233.68,235.14,"22,363,600","3,433,299,968"
26-9-2015,235.08,235.4,233.36,234.34,"13,724,100","3,444,730,112"
27-9-2015,234.14,234.53,232.48,232.76,"14,179,900","3,431,859,968"
28-9-2015,232.84,239.34,232.47,239.14,"24,713,000","3,413,629,952"
29-9-2015,239.02,239.8,235.93,236.69,"22,691,300","3,505,090,048"
30-9-2015,236.64,237.73,235.63,236.06,"19,743,500","3,471,280,128"
1-10-2015,236.0,238.45,235.62,237.55,"20,488,800","3,462,799,872"
2-10-2015,237.26,238.54,236.6,237.29,"19,677,900","3,482,190,080"
3-10-2015,237.2,239.32,236.94,238.73,"16,482,700","3,482,099,968"
4-10-2015,238.53,238.97,237.94,238.26,"12,999,000","3,502,459,904"
5-10-2015,238.15,240.38,237.04,240.38,"23,335,900","3,497,740,032"
6-10-2015,240.36,246.93,240.14,246.06,"27,535,100","3,531,229,952"
7-10-2015,246.17,246.68,242.59,242.97,"22,999,200","3,617,400,064"
8-10-2015,243.07,244.25,242.18,242.3,"18,515,300","3,572,730,112"
9-10-2015,242.5,244.23,242.12,243.93,"17,353,100","3,565,090,048"
10-10-2015,243.74,245.32,243.07,244.94,"15,912,700","3,584,120,064"
11-10-2015,244.74,247.24,244.15,247.05,"16,827,300","3,599,840,000"
12-10-2015,246.88,247.45,245.18,245.31,"17,388,300","3,632,110,080"
13-10-2015,245.2,250.24,243.76,249.51,"28,198,500","3,608,339,968"
14-10-2015,249.49,254.27,248.9,251.99,"27,462,600","3,672,369,920"
15-10-2015,252.11,255.96,252.05,254.32,"25,223,500","3,711,800,064"
16-10-2015,254.3,266.14,253.93,262.87,"35,901,500","3,745,090,048"
17-10-2015,262.75,273.58,262.37,270.64,"43,199,600","3,870,490,112"
18-10-2015,270.91,271.67,260.78,261.64,"22,434,300","3,991,620,096"
19-10-2015,261.86,264.82,260.95,263.44,"25,258,800","3,859,269,888"
20-10-2015,263.57,270.83,263.23,269.46,"30,889,800","3,885,570,048"
21-10-2015,269.31,270.77,263.84,266.27,"25,637,300","3,970,980,096"
22-10-2015,266.5,276.51,266.14,274.02,"37,808,600","3,930,500,096"
23-10-2015,273.65,278.68,273.54,276.5,"29,442,500","4,037,009,920"
24-10-2015,276.5,281.71,276.5,281.65,"25,942,400","4,080,140,032"
25-10-2015,281.45,294.06,281.45,283.68,"45,717,100","4,154,099,968"
26-10-2015,283.63,285.3,280.51,285.3,"32,108,800","4,187,409,920"
